name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Whole Again,Right Now,Atomic Kitten,2001-01-01,185013,65,0.747,0.0844,0.747,0.706,0.00355,0.174,-4.653,0.0413,94.019,4
Never Had A Dream Come True,"""7""",S Club 7,2000-06-12,240492,60,0.639,0.508,0.639,0.534,0,0.0948,-5.588,0.0281,122.931,4
Nobody Wants to Be Lonely (with Christina Aguilera),17,Ricky Martin,2008,252706,52,0.635,0.00579,0.635,0.854,0.0083,0.0623,-5.02,0.0612,100.851,4
Survivor,Survivor,Destiny's Child,2001-05-01,254026,69,0.514,0.0559,0.514,0.911,0,0.775,-2.027,0.41,161.109,4
Out Of Reach,Rise,Gabrielle,2001-01-01,196986,67,0.51,0.503,0.51,0.48,0,0.106,-6.567,0.0452,182.862,4
I'm Like A Bird,"Whoa, Nelly!",Nelly Furtado,2000,243160,29,0.622,0.138,0.622,0.608,5.38E-06,0.273,-5.085,0.036,89.661,4
Don't Stop Movin',Sunshine,S Club 7,2001-11-26,233626,60,0.822,0.0285,0.822,0.672,0,0.213,-6.133,0.0329,117.033,4
Can't Get You out of My Head,Fever,Kylie Minogue,2001-10-01,230640,72,0.766,0.0263,0.766,0.563,0.683,0.115,-7.516,0.0339,126.007,4
AM To PM,Christina Milian,Christina Milian,2001,231213,55,0.872,0.153,0.872,0.868,2.26E-05,0.843,-3.036,0.12,105.005,4
Loverboy,Glitter,Mariah Carey,2001-09-11,229173,40,0.721,0.183,0.721,0.79,0,0.1,-4.125,0.124,103.141,4
Fill Me In,Born to Do It,Craig David,2000-08-14,257200,58,0.683,0.373,0.683,0.748,0.00881,0.06,-6.981,0.0366,132.486,4
Pure & Simple,Popstars,Hear'Say,2001-03-26,228026,50,0.626,0.0669,0.626,0.667,0,0.181,-6.637,0.0417,75.006,4
Play,J.Lo,Jennifer Lopez,2001-01-23,211493,55,0.775,0.0303,0.775,0.729,0.00247,0.0361,-4.229,0.162,104.719,4
Bootylicious,Survivor,Destiny's Child,2001-05-01,207906,63,0.84,0.00281,0.84,0.835,1.11E-06,0.152,-4.386,0.275,103.376,4
This I Promise You,No Strings Attached,*NSYNC,2000-03-21,283506,61,0.55,0.367,0.55,0.581,0,0.122,-6.253,0.0325,165.981,4
Have You Ever,Sunshine,S Club 7,2001-11-26,201533,59,0.585,0.538,0.585,0.702,0,0.216,-5.734,0.0325,139.909,4
Lovin' Each Day,Ronan,Ronan Keating,2000-01-01,212973,57,0.541,0.0178,0.541,0.899,2.95E-06,0.286,-6.261,0.0636,106.68,4
I'm a Slave 4 U,Britney (Digital Deluxe Version),Britney Spears,2001-10-31,203600,69,0.847,0.415,0.847,0.843,0.000134,0.107,-3.579,0.106,110.027,4
All or Nothing,O-Town 2,O-Town,2003-02-03,250800,60,0.652,0.257,0.652,0.447,0,0.253,-5.507,0.0287,126.905,4
U Remind Me,8701,Usher,2001-08-07,266893,71,0.657,0.194,0.657,0.629,0,0.254,-4.938,0.0782,93.985,4
If You Come Back,All Rise,Blue,2001-11-26,207560,54,0.582,0.0822,0.582,0.707,0,0.0467,-4.487,0.0319,78.375,4
There You'll Be,There You'll Be,Faith Hill,2001-10-01,222120,61,0.321,0.513,0.321,0.511,0,0.127,-7.77,0.0306,128.98,4
It's Raining Men,Scream If You Wanna Go Faster,Geri Halliwell,2001-05-14,254640,59,0.637,0.063,0.637,0.929,0.00796,0.318,-6.03,0.0447,136.482,4
In Your Eyes,Fever,Kylie Minogue,2001-10-01,197826,60,0.689,0.133,0.689,0.894,4.72E-05,0.0681,-6.342,0.0672,123.971,4
Eternal Flame - Single Version,Right Now,Atomic Kitten,2001-01-01,195506,55,0.578,0.0658,0.578,0.581,0.0042,0.0674,-6.867,0.0318,83.293,4
All Rise,All Rise,Blue,2001-11-26,223546,61,0.721,0.121,0.721,0.737,0,0.165,-2.734,0.0324,97.996,4
Ain't It Funny,J.Lo,Jennifer Lopez,2001-01-01,246160,50,0.707,0.104,0.707,0.869,0.000121,0.0813,-4.525,0.0481,99.825,4
What Took You So Long?,A Girl Like Me,Emma Bunton,2001-01-01,241000,52,0.668,0.123,0.668,0.772,0,0.341,-5.4,0.0307,118.011,4
Rise,Rise,Gabrielle,2001-01-01,219093,59,0.558,0.315,0.558,0.481,8.83E-06,0.09,-9.487,0.026,144.673,4
Another Day in Paradise - R&B-Version,Full Moon,Brandy,2002-02-25,271626,48,0.7,0.00666,0.7,0.787,3.68E-05,0.0724,-5.176,0.0327,102.043,4
Ride Wit Me,Country Grammar,Nelly,2000-06-27,291781,73,0.85,0.0616,0.85,0.7,1.80E-06,0.244,-6.49,0.0478,101.875,4
Family Affair,No More Drama,Mary J. Blige,2001-01-01,265866,70,0.911,0.132,0.911,0.551,4.12E-05,0.0863,-3.75,0.0449,92.887,4
Someone To Call My Lover,All For You,Janet Jackson,2001-01-01,272360,46,0.738,0.144,0.738,0.914,0.00099,0.182,-4.203,0.0434,127.885,4
